Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
24880001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29130001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29130001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29140001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29140001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29150001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29150001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29160001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29160001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29170001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29170001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29180001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29180001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29190001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29190001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29200001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29200001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29210001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29210001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29220001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29220001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29230001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29230001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29240001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29240001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29250001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29250001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29260001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29260001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29270001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
29270001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29470001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
29470001161,1,1,1,2,HANDOVER_START_ENB,
29470001161,1,1,1,2,HANDOVER_START_UE,
29474214285,1,2,1,2,HANDOVER_OK_UE,
