Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
19185403887,1,1,1,2,HANDOVER_TRIGGERED_ENB,
19185404048,1,1,1,2,HANDOVER_START_ENB,
19185404048,1,1,1,2,HANDOVER_START_UE,
19189214285,1,2,1,2,HANDOVER_OK_UE,
19189214484,1,2,1,2,HANDOVER_OK_ENB,
129860214285,1,1,2,1,CONNECTION_ESTABLISHED_UE,
129860214285,1,1,2,1,CONNECTION_ESTABLISHED_ENB,
130240998164,1,1,2,2,HANDOVER_TRIGGERED_ENB,
130240998325,1,1,2,2,HANDOVER_START_ENB,
130240998325,1,1,2,2,HANDOVER_START_UE,
130244214285,1,2,2,2,HANDOVER_OK_UE,
130244214484,1,2,2,2,HANDOVER_OK_ENB,
132660214285,1,1,3,1,CONNECTION_ESTABLISHED_UE,
132660214285,1,1,3,1,CONNECTION_ESTABLISHED_ENB,
133202292279,1,1,3,2,HANDOVER_TRIGGERED_ENB,
133202292440,1,1,3,2,HANDOVER_START_ENB,
133202292440,1,1,3,2,HANDOVER_START_UE,
133206214285,1,2,3,2,HANDOVER_OK_UE,
133206214484,1,2,3,2,HANDOVER_OK_ENB,
135620214285,1,1,4,1,CONNECTION_ESTABLISHED_UE,
135620214285,1,1,4,1,CONNECTION_ESTABLISHED_ENB,
194260214285,1,2,4,2,CONNECTION_ESTABLISHED_UE,
194260214285,1,2,4,2,CONNECTION_ESTABLISHED_ENB,
195227041026,1,2,4,1,HANDOVER_TRIGGERED_ENB,
195227041187,1,2,4,1,HANDOVER_START_ENB,
195227041187,1,2,4,1,HANDOVER_START_UE,
195231214285,1,1,5,1,HANDOVER_OK_UE,
195231214484,1,1,5,1,HANDOVER_OK_ENB,
197620214285,1,2,5,2,CONNECTION_ESTABLISHED_UE,
197620214285,1,2,5,2,CONNECTION_ESTABLISHED_ENB,
198253610100,1,2,5,1,HANDOVER_TRIGGERED_ENB,
198253610261,1,2,5,1,HANDOVER_START_ENB,
198253610261,1,2,5,1,HANDOVER_START_UE,
198257214285,1,1,6,1,HANDOVER_OK_UE,
198257214484,1,1,6,1,HANDOVER_OK_ENB,
200660214285,1,2,6,2,CONNECTION_ESTABLISHED_UE,
200660214285,1,2,6,2,CONNECTION_ESTABLISHED_ENB,
